sequence,scene,amount
2019-03-14,sh600528,12.11
2019-03-14,sh600529,21.65
2019-03-14,sh600530,6.06
2019-03-14,sh600531,5.67
2019-03-14,sh600532,5.35
2019-03-14,sh600533,3.6
2019-03-14,sh600535,23.73
2019-03-14,sh600536,48.2
2019-03-14,sh600537,4.13
2019-03-14,sh600538,6.02
2019-03-14,sh600539,6.98
2019-03-14,sh600540,4.68
2019-03-14,sh600543,6.93
2019-03-14,sh600545,7.94
2019-03-14,sh600546,3.76
2019-03-14,sh600547,32.25
2019-03-14,sh600548,9.48
2019-03-14,sh600549,15.14
2019-03-14,sh600550,4.88
2019-03-14,sh600551,10.29
2019-03-14,sh600552,5.8
2019-03-12,sh600553,0.0
2019-03-14,sh600555,3.34
2019-03-14,sh600556,7.13
2019-03-14,sh600557,12.5
2019-03-14,sh600558,4.18
2019-03-14,sh600559,15.45
2019-03-14,sh600560,10.51
2019-03-14,sh600561,6.61
2019-03-14,sh600562,17.13
2019-03-14,sh600563,46.29
2019-03-14,sh600565,3.5
2019-03-14,sh600566,36.0
2019-03-14,sh600567,3.94
2019-03-14,sh600568,2.91
2019-03-14,sh600569,3.59
2019-03-14,sh600570,86.4
2019-03-14,sh600571,10.62
2019-03-14,sh600572,9.85
2019-03-14,sh600573,7.84
2019-03-14,sh600575,2.79
2019-03-14,sh600576,5.14
2019-03-14,sh600577,3.69
2019-03-14,sh600578,3.38
2019-03-14,sh600579,9.81
2019-03-14,sh600580,8.56
2019-03-14,sh600581,4.42
2019-03-14,sh600582,4.04
2019-03-14,sh600583,5.8
2019-03-14,sh600584,14.82
2019-03-14,sh600585,35.47
2019-03-14,sh600586,3.56
2019-03-14,sh600587,14.75
2019-03-14,sh600588,34.3
2019-03-14,sh600589,5.86
2019-03-14,sh600590,7.03
2019-03-12,sh600591,0.0
2019-03-14,sh600592,8.0
2019-03-14,sh600593,33.31
2019-03-14,sh600594,6.62
2019-03-14,sh600595,2.89
2019-03-14,sh600596,12.39
2019-03-14,sh600597,9.5
2019-03-14,sh600598,9.32
2019-03-14,sh600599,13.5
2019-03-14,sh600600,37.6
2019-03-14,sh600601,3.75
2019-03-14,sh600602,7.89
2019-03-14,sh600603,5.05
2019-03-14,sh600604,18.35
2019-03-14,sh600605,11.31
2019-03-14,sh600606,7.51
2019-03-12,sh600607,0.0
2019-03-14,sh600608,4.77
2019-03-14,sh600609,3.8
2019-03-14,sh600610,3.74
2019-03-14,sh600611,4.85
2019-03-14,sh600612,40.29
2019-03-14,sh600613,9.96
2019-03-14,sh600614,6.09
2019-03-14,sh600615,12.3
2019-03-14,sh600616,5.86
2019-03-14,sh600617,5.37
2019-03-14,sh600618,8.16
2019-03-14,sh600619,9.61
2019-03-14,sh600620,7.1
2019-03-14,sh600621,12.65
2019-03-14,sh600622,7.76
2019-03-14,sh600623,9.13
2019-03-14,sh600624,9.99
2019-03-12,sh600625,0.0
2019-03-14,sh600626,6.27
2019-03-12,sh600627,0.0
